,average_bifurcation_angle_local,average_bifurcation_angle_remote,average_contraction,average_diameter,average_fragmentation,average_parent_daughter_ratio,hausdorff_dimension,id,max_branch_order,max_euclidean_distance,max_path_distance,neuron_reconstruction_type,number_bifurcations,number_branches,number_nodes,number_stems,number_tips,overall_depth,overall_height,overall_width,scale_factor_x,scale_factor_y,scale_factor_z,soma_surface,specimen_id,total_length,total_surface,total_volume
266,75.091346904,,0.849212338384,0.616690875094,102.109375,0.988162832336,,566350399,15.0,1148.90371453,1285.94248906,full,32,69,6817,5,37,114.3271,1572.25381797,476.311543124,0.1144,0.1144,0.28,721.70037296,537313158,7830.16240799,15155.6491768,2762.37956465
267,57.5816924743,,0.880179939636,0.149291870383,28.225,0.935872233563,,491120333,4.0,132.64492905,152.147033262,dendrite-only,20,44,1166,4,24,39.2392,192.823974499,138.349862231,0.1144,0.1144,0.28,63.7273166232,464188580,1392.38253928,652.324829213,22.3255302112
268,71.7998598039,,0.918792596853,0.189762913099,43.4838709677,0.913909744797,,496085098,9.0,523.45442466,597.833378436,dendrite-only,47,104,4187,10,57,126.122,634.605529147,313.990538205,0.1144,0.1144,0.28,203.301608771,485574721,4866.66070154,2902.6693059,145.877854357
269,64.9437333636,,0.838192451731,0.302617129226,49.4166666667,0.734052460957,,491392868,15.0,851.288125393,934.754306198,dendrite-only,30,67,3201,7,37,53.6371,927.544374899,241.957023897,0.1144,0.1144,0.28,172.45894107,471786879,3657.15712807,3493.35828659,319.097066618
270,72.3801614426,,0.877489218227,0.267218311417,27.75,0.88719293256,,492100896,6.0,138.675965303,163.321193804,dendrite-only,16,37,988,5,21,49.8123,178.70416144,213.033603952,0.1144,0.1144,0.28,150.72312875,475585451,1178.23692104,991.944888593,72.2773047138
271,75.569222475,,0.873486460383,0.366706945344,37.625,0.891321116488,,510982908,21.0,759.286451684,794.867001448,dendrite-only,40,85,3159,5,45,113.3546,843.711435498,220.068905225,0.1144,0.1144,0.28,252.444274076,490485142,3615.29603808,4162.26265396,448.724770433
272,80.2420614492,,0.818529257048,0.31622330278,80.537037037,0.904355771677,,552579449,8.0,393.496755779,495.537185005,full,27,59,4568,5,32,127.6657,499.372452441,331.633903838,0.1144,0.1144,0.28,138.786993191,508421103,5395.746078,5433.92600931,543.994904579
273,62.1671764474,,0.872704192452,0.452469913604,45.5344827586,0.77411048527,,491458672,8.0,457.225906682,539.120951314,dendrite-only,29,69,2923,11,40,132.2039,549.781394641,247.706319356,0.1144,0.1144,0.28,615.778473391,467703703,3543.48004109,4967.74484149,681.895572045
274,72.9426978052,,0.883102964557,0.357851773374,54.25,0.928054253408,,496085283,5.0,335.219826791,351.476404935,dendrite-only,16,38,1930,6,22,45.9634,477.827818812,239.883450945,0.1144,0.1144,0.28,221.617134772,485905391,2227.87202013,2502.68238234,250.305313425
275,84.0640080274,,0.8892901167,0.180459481917,54.6071428571,0.747879061883,,491392956,6.0,322.035802993,357.779479115,dendrite-only,14,36,1875,8,22,85.6395,454.242328125,239.150847789,0.1144,0.1144,0.28,43.9757885197,477127614,2161.67226656,1223.73946678,63.0815212775
276,73.9608832169,,0.865121844826,0.360908507915,95.8407079646,0.835762632166,,544901580,11.0,568.771670104,659.603343541,full,57,123,11024,9,66,152.6196,767.316139522,492.972830688,0.1144,0.1144,0.28,865.140265298,508305938,13009.6832063,14664.7446924,1505.74195818
277,68.8692300194,,0.919063695201,0.365952266979,48.0695652174,0.814642777685,,496123897,20.0,660.508321905,764.75638354,dendrite-only,58,130,5802,14,72,157.1777,789.594096486,371.687636889,0.1144,0.1144,0.28,308.806089658,485835055,6747.5742873,7773.0286659,814.820057557
278,62.7220152937,,0.906379324548,0.263700925568,62.95,1.02493931351,,491771306,5.0,271.654785243,298.931937042,dendrite-only,10,24,1491,4,14,52.6257,409.097710895,274.37010595,0.1144,0.1144,0.28,244.18659329,475542743,1696.63174347,1408.36986355,97.5055089595
279,74.1527779466,,0.887697516999,0.437940092669,48.5588235294,0.913783082595,,496253700,7.0,462.685400308,489.324415856,dendrite-only,17,42,1932,8,25,52.5277,559.114151789,200.298056447,0.1144,0.1144,0.28,294.865696104,486502127,2227.36447871,3075.38244699,380.654259609
280,64.5392482822,,0.899150643753,0.446874947992,55.4,0.858566896845,,491253814,5.0,442.792732957,459.245591485,dendrite-only,23,51,2523,5,28,75.1993,461.892815225,272.728733077,0.1144,0.1144,0.28,535.076259403,479728896,2890.8373131,4068.1989602,540.635459422
281,76.4623830852,,0.881443994705,0.355177235508,57.75,0.880340199978,,495335232,5.0,224.426325124,257.847309893,dendrite-only,28,63,3325,7,35,102.76,330.124253346,394.73433682,0.1144,0.1144,0.28,681.211799249,322197160,3530.77399528,3958.7515683,379.871369716
282,78.5350708163,,0.897793510332,0.247356279035,47.1272727273,0.779837818693,,492413653,9.0,374.667522229,419.711310803,dendrite-only,28,62,2813,6,34,124.2169,469.187241793,291.532147619,0.1144,0.1144,0.28,96.1345882421,478499902,3195.90324692,2485.65221544,174.755651879
